Original entry,New entry,,,
"Black, a.",A. black,,,
Abhijit banerjee,Abhijit v. banerjee,,,
Abhijit banerjee,Abhijit v. banerjee,,,
Alan m.taylor,Alan m. taylor,,,
Alan m.taylor,Alan m. taylor,,,
Alan m.taylor,Alan m. taylor,,,
"Oswald, andrew j.",Andrew j. oswald,,,
"Oswald,-andrew-j.",Andrew j. oswald,,,
Andrew m warner,Andrew m. warner,,,
Anne case,Anne c. case,,,
Annette vissing-jÃ¸rgensen,Annette vissing‐jørgensen,,,
AnnetteÂ vissingâ€,Annette vissing‐jørgensen,,,
Annette vissing-jørgensen,Annette vissing‐jørgensen,,,
Antonio fatÃ¡s,Antonio fatás,,,
Antonio fatas,Antonio fatás,,,
Asli demirguc-kunt,Asli demirgüç-kunt,,,
Asli demirgüç kunt,Asli demirgüç-kunt,,,
Asli demirguc-kunt,Asli demirgüç-kunt,,,
Asli demirgüç kunt,Asli demirgüç-kunt,,,
"Baltagi, b. h.",Badi h. baltagi,,,
"Baltagi,-badi-h.",Badi h. baltagi,,,
"Baltagi, b. h.",Badi h. baltagi,,,
"Baltagi,-badi-h.",Badi h. baltagi,,,
"Collier, bill",Bill collier,,,
"Bell,-brian",Brian bell,,,
C.a. knox lovell,C. a. knox lovell,,,
C.a. knox lovell,C. a. knox lovell,,,
"Bean, c.",C. bean,,,
Charles w. swenson,C.w. swenson,,,
Carlos eduardo s. gonÃ§alves,Carlos eduardo s. goncalves,,,
Carlos eduardo s.Â gonÃ§alves,Carlos eduardo s. goncalves,,,
Charles m.c. lee,Charles m. c. lee,,,
"Gianella,-christian",Christian gianella,,,
Dennis j. aigner,D. j. aigner,,,
DaniÂ rodrik,Dani rodrik,,,
"Card,-david",David card,,,
"Blanchflower,-david-g.",David graham blanchflower,,,
"Blanchflower, d.",David graham blanchflower,,,
"Blanchflower, david g.",David graham blanchflower,,,
"Blanchflower,-david-g.",David graham blanchflower,,,
Efthymios tsionas,Efthymios g. tsionas,,,
"Fitzroy, f.",F. fitzroy,,,
"Duffy,-fiona",Fiona duffy,,,
F.bourguignon,François bourguignon,,,
Glenn w harrison,Glenn w. harrison,,,
Gustavo joséde guimarães e souza,Gustavo josé de guimarães e souza,,,
Gustavo joséde guimarães e souza,Gustavo josé de guimarães e souza,,,
Helder ferreira de mendonÃ§a,Helder ferreira de mendonça,,,
Helder ferreirade mendonÃ§a,Helder ferreira de mendonça,,,
Helder ferreirade mendonça,Helder ferreira de mendonça,,,
Ira n.gang,Ira n. gang,,,
J.benson durham,J. benson durham,,,
"Borland, j.",J. borland,,,
"Elhorst, j. paul",J. paul elhorst,,,
"Payne, james e.",James e. payne,,,
"Payne, james e.",James e. payne,,,
"James r. hines, jr.",James r. hines jr.,,,
Jane h.leuthol,Jane h. leuthol,,,
JanetÂ currie,Janet currie,,,
"Turunen,-jarkko",Jarkko turunen ,,,
"Turunen, jarkko",Jarkko turunen ,,,
"Turunen,-jarkko",Jarkko turunen ,,,
Jeffrey d sachs,Jeffrey d. sachs,,,
Jeffrey d sachs,Jeffrey d. sachs,,,
Jenny a.minier,Jenny a. minier,,,
Jenny a.minier,Jenny a. minier,,,
Jenny a.minier,Jenny a. minier,,,
Jere r.behrman,Jere r. behrman,,,
Jere r.behrman,Jere r. behrman,,,
Jere r.behrman,Jere r. behrman,,,
Jere behrman,Jere r. behrman,,,
"Wagner,-joachim",Joachim wagner,,,
"Wagner,-joachim",Joachim wagner,,,
"Schwarze,-johannes",Johannes schwarze,,,
John a list,John a. list,,,
Jordi galı́,Jordi galí,,,
"Mcmorrow, k.",K. Mcmorrow,,,
Larry h.p lang,Larry h. p. lang,,,
Lars-hendrik roller,Lars-hendrik röller,,,
Lars-hendrik roller,Lars-hendrik röller,,,
Louis k.c. chan,Louis k. c. chan,,,
"Bellman,-lutz",Lutz bellman,,,
Mark m. spiegel,Mark m. spiegel,,,
"Pannenberg,-markus",Markus pannenberg,,,
Masao ogaki,Masao ogaki,,,
"Melvin stephens, jr.",Melvin stephens jr.,,,
Melvin stephens jr.,Melvin stephens jr.,,,
Michael bleaney,Michael f. bleaney,,,
Michael p.devereux,Michael p. devereux,,,
Michael p.devereux,Michael p. devereux,,,
Montek s.ahluwalia,Montek s. ahluwalia,,,
Naerciomenezes-filho,Naercio menezes-filho,,,
N.gregory mankiw,Nicholas gregory mankiw,,,
N.gregory mankiw,Nicholas gregory mankiw,,,
N. gregory mankiw,Nicholas gregory mankiw,,,
Nicholas s souleles,Nicholas s. souleles,,,
Nicholas s souleles,Nicholas s. souleles,,,
Nicholas s souleles,Nicholas s. souleles,,,
Orazio p. attanasio,Orazio p. attanasio,,,
Pak wai liu,Pak-wai liu,,,
"Layard, r.",Richard Layard,,,
"Nymoen, ragnar",Ragnar nymoen ,,,
"Ramos, raúl",Raúl ramos,,,
"Ramos, raúl",Raúl ramos ,,,
Richard g sloan,Richard g. sloan,,,
Richard thaler,Richard h. thaler,,,
Roland g. fryer,Roland g. fryer jr,,,
"Ronald, g. cummings",Ronald g. cummings,,,
"Winter-ebmer,-rudolf",Rudolf winter-ebmer,,,
"Winter-ebmer,-rudolf",Rudolf winter-ebmer,,,
Seda ertaç,Seda ertac,,,
"Nataraj,-sita",Sita nataraj,,,
Steve machin,Stephen machin,,,
"Nickell,-stephen",Stephen nickell,,,
Sydney ludvigson,Sydney c. ludvigson,,,
Td stanley,T. d. stanley,,,
Tamin bayoumi,Tamim a. bayoumi,,,
"Blien, uwe",Uwe blien,,,
"Blien,-uwe",Uwe blien,,,
"Montuenga gómez, victor",Victor m. montuenga gómez,,,
"Montuenga, victor",Victor m. montuenga gómez,,,
"Montuenga-gómez, victor m",Victor m. montuenga gómez,,,
V.n. balasubramanyam,Vudayagi n. balasubramanyam,,,
V.n. balasubramanyam,Vudayagi n. balasubramanyam,,,
V.n. balasubramanyam,Vudayagi n. balasubramanyam,,,
V.n. balasubramanyam,Vudayagi n. balasubramanyam,,,
V. n. balasubramanyam,Vudayagi n. balasubramanyam,,,
William nordhaus,William d. nordhaus,,,
